               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.12825,            0.075164,            0.093484,                   0,                   0,                   0,                   0,             0.12803,            0.070674,             0.09464,             0.00012,             0.00012,             0.09892
                   1,             0.12387,            0.081354,            0.092494,          2.6398e-05,           0.0011574,          1.3544e-05,          2.7087e-06,             0.12302,            0.077304,            0.092466,          0.00024999,          0.00024999,             0.09775
                   2,             0.12037,            0.085863,            0.091197,          0.00052724,            0.013682,          0.00030265,          7.3056e-05,             0.11748,            0.081179,            0.090521,          0.00037992,          0.00037992,             0.09658
                   3,             0.11618,             0.08317,            0.090256,             0.22532,            0.020382,           0.0023413,          0.00044814,             0.11261,            0.079901,             0.08938,          0.00050975,          0.00050975,             0.09541
                   4,             0.11212,            0.080163,            0.089332,            0.058793,             0.08401,            0.004739,          0.00093406,             0.10501,            0.078876,            0.089152,          0.00063943,          0.00063943,            0.094239
                   5,             0.10495,            0.072831,            0.088825,             0.20041,             0.10493,           0.0086665,           0.0025088,            0.094431,            0.077332,            0.088469,          0.00076893,          0.00076893,            0.093069
                   6,            0.093073,            0.070796,            0.087352,            0.013622,             0.28241,            0.018574,           0.0061051,            0.086011,            0.072812,            0.086921,           0.0008982,           0.0008982,            0.091898
                   7,            0.084622,             0.07215,            0.086232,             0.10065,              0.3086,            0.033243,            0.011822,            0.077624,             0.06967,            0.085911,           0.0010272,           0.0010272,            0.090727
                   8,            0.076841,            0.067997,            0.085529,             0.57574,            0.094621,            0.042804,            0.013671,            0.069452,            0.064218,            0.083974,           0.0011559,           0.0011559,            0.089556
                   9,            0.073984,            0.063742,            0.084168,             0.13618,             0.27382,            0.049256,            0.017571,            0.068488,            0.060226,            0.082841,           0.0012842,           0.0012842,            0.088384
                  10,             0.06985,            0.062863,             0.08291,             0.39779,             0.15229,            0.054738,            0.023272,            0.061123,            0.055309,            0.081039,           0.0014121,           0.0014121,            0.087212
                  11,            0.067043,            0.060663,            0.081488,             0.11699,             0.42901,            0.063949,            0.029672,            0.060771,            0.053597,            0.078852,           0.0015396,           0.0015396,             0.08604
                  12,            0.064954,            0.058502,            0.079897,             0.11751,             0.32444,            0.050226,            0.016441,            0.078794,            0.054003,            0.077842,           0.0016666,           0.0016666,            0.084867
                  13,            0.082831,            0.058777,            0.079619,             0.70014,            0.075924,            0.041065,            0.015413,            0.069531,            0.053504,            0.077616,           0.0017931,           0.0017931,            0.083693
                  14,            0.077071,            0.059159,            0.077895,             0.14626,             0.29579,            0.042927,            0.019875,            0.073983,            0.052444,            0.076578,            0.001919,            0.001919,            0.082519
                  15,            0.076557,            0.057113,            0.078788,             0.18279,             0.26019,            0.053954,            0.021217,            0.066033,            0.052323,            0.076589,           0.0020443,           0.0020443,            0.081344
                  16,            0.075895,            0.059111,            0.077777,             0.16483,             0.31554,            0.066725,            0.033552,            0.052518,            0.055962,            0.076163,           0.0021689,           0.0021689,            0.080169
                  17,            0.072772,            0.057999,            0.077568,             0.18499,             0.33439,            0.059029,            0.024863,            0.062225,            0.053281,            0.075506,           0.0022928,           0.0022928,            0.078993
                  18,            0.069648,            0.059275,            0.076416,             0.17283,              0.4153,            0.083096,             0.03879,             0.05384,            0.051035,            0.074719,            0.002416,            0.002416,            0.077816
                  19,             0.07101,            0.057473,            0.076182,             0.14841,             0.36407,            0.084957,            0.039149,            0.056776,            0.051542,            0.074528,           0.0025385,           0.0025385,            0.076638
                  20,            0.067879,            0.057714,             0.07541,            0.098734,             0.39705,            0.073204,            0.034812,            0.049867,            0.050195,            0.073759,           0.0026601,           0.0026601,             0.07546
                  21,            0.067555,            0.054707,            0.074017,             0.32616,             0.23707,             0.05981,             0.02464,            0.055402,            0.050042,            0.073474,           0.0027809,           0.0027809,            0.074281
                  22,            0.065565,            0.054647,            0.074654,             0.19956,              0.4173,             0.10216,            0.054838,            0.049956,            0.048822,            0.072063,           0.0029007,           0.0029007,            0.073101
                  23,            0.063953,            0.056545,            0.073815,            0.073968,             0.37883,            0.057217,            0.019392,            0.059608,            0.049223,            0.071802,           0.0030197,           0.0030197,             0.07192
                  24,            0.066469,            0.053308,            0.072952,             0.23306,             0.43861,             0.11337,            0.053059,            0.049743,            0.048654,            0.071428,           0.0031376,           0.0031376,            0.070738
                  25,            0.065599,            0.052124,            0.073506,             0.67316,             0.13575,            0.074806,            0.028674,            0.058563,            0.048467,            0.071287,           0.0032546,           0.0032546,            0.069555
                  26,            0.062675,             0.05411,            0.071729,             0.15163,             0.46798,             0.11868,            0.056201,            0.043803,            0.047669,            0.070348,           0.0033705,           0.0033705,             0.06837
                  27,            0.063657,            0.054644,            0.071413,             0.21275,             0.39747,             0.09811,            0.047848,            0.055559,            0.047419,            0.069846,           0.0034853,           0.0034853,            0.067185
                  28,            0.061314,            0.051972,            0.071138,             0.24758,             0.41254,             0.16352,            0.072831,              0.0455,            0.046183,            0.068783,            0.003599,            0.003599,            0.065999
                  29,            0.061852,             0.05354,            0.070694,             0.24253,              0.4215,             0.14421,            0.052033,            0.051785,            0.045888,            0.068326,           0.0037115,           0.0037115,            0.064811
                  30,            0.059456,            0.055083,            0.070532,             0.51516,             0.32694,             0.17596,            0.082706,            0.043217,            0.045728,             0.06744,           0.0038228,           0.0038228,            0.063623
                  31,            0.062255,            0.053009,            0.070102,             0.72292,              0.1627,             0.14142,            0.054912,            0.051687,            0.045153,            0.066659,           0.0039329,           0.0039329,            0.062433
                  32,            0.055624,            0.051376,            0.070256,             0.74216,             0.17279,             0.18677,            0.093634,            0.041967,            0.044965,            0.065692,           0.0040418,           0.0040418,            0.061242
                  33,            0.056917,            0.051369,            0.068746,             0.67995,             0.23626,             0.16537,            0.071767,            0.048188,            0.046873,            0.065708,           0.0041493,           0.0041493,            0.060049
                  34,            0.056578,            0.051124,            0.068168,             0.77255,             0.15368,             0.18233,            0.091596,            0.040642,            0.044307,            0.065343,           0.0042555,           0.0042555,            0.058855
                  35,             0.05745,            0.052078,            0.069107,             0.92377,                0.12,             0.16388,             0.08104,            0.043448,            0.044788,            0.064234,           0.0043603,           0.0043603,             0.05766
                  36,            0.056557,            0.052117,            0.067936,              0.9315,             0.11446,             0.17266,            0.083883,            0.041069,            0.043081,            0.063346,           0.0044637,           0.0044637,            0.056464
                  37,             0.05586,            0.052682,            0.066578,             0.93214,             0.11436,             0.16785,             0.07716,            0.047596,            0.045522,            0.062235,           0.0045657,           0.0045657,            0.055266
                  38,            0.063822,            0.052148,            0.067633,             0.83054,             0.14657,             0.15954,            0.066956,            0.050422,            0.047437,            0.061484,           0.0046663,           0.0046663,            0.054066
                  39,            0.059792,            0.056284,            0.065541,             0.92292,             0.09994,             0.17563,            0.070424,            0.054862,            0.044843,            0.059879,           0.0047653,           0.0047653,            0.052865
                  40,            0.060854,            0.050698,             0.06499,              0.9196,             0.10852,             0.16096,            0.069347,            0.052078,            0.045247,            0.059043,           0.0048628,           0.0048628,            0.051663
                  41,            0.059153,            0.051522,            0.064893,             0.92994,             0.13923,             0.19713,            0.084757,            0.047266,            0.044892,            0.058178,           0.0049587,           0.0049587,            0.050459
                  42,            0.062452,            0.048324,             0.06505,             0.92867,             0.12226,             0.17954,             0.06728,             0.05315,            0.046263,            0.058181,           0.0050531,           0.0050531,            0.049253
                  43,            0.060987,            0.057067,            0.064243,             0.53058,             0.31601,             0.16737,            0.063629,            0.054622,            0.044296,            0.056811,           0.0051458,           0.0051458,            0.048046
                  44,            0.059676,            0.051096,            0.063101,             0.59035,             0.30377,             0.20972,            0.099429,            0.046077,            0.044229,            0.056459,           0.0052369,           0.0052369,            0.046837
                  45,            0.058823,            0.049095,            0.062846,             0.57808,             0.30907,             0.18545,            0.072699,            0.053307,            0.046547,            0.055613,           0.0053263,           0.0053263,            0.045626
                  46,            0.057271,            0.050725,            0.062634,             0.76622,             0.20881,             0.16137,            0.056952,            0.055155,             0.04674,            0.055798,           0.0054141,           0.0054141,            0.044414
                  47,            0.058333,            0.049708,            0.061857,             0.61445,             0.26695,              0.1693,            0.077067,            0.052634,            0.043264,            0.055273,           0.0055001,           0.0055001,              0.0432
                  48,            0.055789,            0.049725,            0.059553,             0.67834,             0.27123,             0.21894,             0.12305,            0.039521,            0.042218,            0.054081,           0.0055843,           0.0055843,            0.041984
                  49,            0.056347,            0.052484,            0.059425,             0.70327,             0.24969,             0.20439,            0.084344,            0.045151,            0.043897,            0.054322,           0.0056668,           0.0056668,            0.040767
                  50,            0.055327,            0.049688,             0.05996,             0.73466,             0.26857,             0.23254,             0.13186,             0.03886,            0.041141,            0.053851,           0.0057475,           0.0057475,            0.039547
                  51,            0.053695,             0.04893,            0.058805,             0.72278,             0.26187,             0.23687,             0.10327,            0.043694,            0.044329,            0.052327,           0.0058263,           0.0058263,            0.038326
                  52,            0.055129,            0.049203,            0.057801,             0.80074,             0.25169,             0.25071,             0.13277,            0.043398,            0.045141,            0.052554,           0.0059034,           0.0059034,            0.037103
                  53,            0.055088,            0.049336,            0.057187,             0.77622,             0.27478,             0.23748,             0.14295,            0.040387,            0.039617,            0.052138,           0.0059785,           0.0059785,            0.035879
                  54,             0.05399,            0.050047,            0.058627,             0.73284,             0.29541,             0.21967,             0.12014,            0.042689,            0.042628,            0.053095,           0.0060518,           0.0060518,            0.034652
                  55,            0.052652,            0.050185,            0.056908,             0.75091,             0.30583,             0.24977,             0.11843,            0.038623,            0.042253,            0.050983,           0.0061232,           0.0061232,            0.033423
                  56,            0.052642,            0.049831,            0.055631,              0.7406,             0.29891,             0.26862,             0.14051,              0.0362,            0.040512,            0.049004,           0.0061926,           0.0061926,            0.032193
                  57,            0.052489,            0.048304,            0.056034,             0.68423,             0.34535,             0.25781,             0.11673,            0.046165,            0.042949,               0.049,           0.0062601,           0.0062601,             0.03096
                  58,            0.053532,            0.049752,            0.056041,             0.68853,             0.32248,              0.2535,             0.12795,            0.041152,            0.040675,            0.048175,           0.0063257,           0.0063257,            0.029726
                  59,            0.051974,            0.046814,            0.054326,             0.69567,             0.35064,             0.26448,             0.14123,            0.040061,            0.042165,            0.047667,           0.0063893,           0.0063893,            0.028489
                  60,            0.054057,            0.050244,            0.053939,             0.72041,             0.34086,             0.27153,             0.12893,            0.040446,            0.042627,            0.046984,           0.0064509,           0.0064509,            0.027251
                  61,            0.051247,            0.050026,             0.05464,             0.69072,             0.38711,             0.27741,             0.15675,            0.036145,            0.042821,            0.046612,           0.0065105,           0.0065105,             0.02601
                  62,            0.051008,            0.051474,            0.053334,             0.72866,             0.33758,             0.29621,             0.15383,            0.042801,            0.040356,            0.046065,            0.006568,            0.006568,            0.024768
                  63,            0.052223,            0.046616,            0.052434,             0.65319,             0.37101,             0.28093,             0.13847,             0.04105,            0.041032,            0.046564,           0.0066236,           0.0066236,            0.023524
                  64,            0.055284,            0.051482,            0.052063,             0.69172,             0.38028,             0.28345,             0.14396,            0.044742,            0.043139,            0.046359,           0.0066771,           0.0066771,            0.022277
                  65,            0.054483,            0.050463,             0.05137,             0.69974,             0.36266,             0.32496,             0.18454,             0.03737,            0.041304,            0.046083,           0.0067285,           0.0067285,            0.021029
                  66,            0.054803,            0.049576,            0.051255,             0.79946,             0.28686,             0.31189,               0.177,            0.040643,            0.042844,            0.044866,           0.0067779,           0.0067779,            0.019778
                  67,            0.054105,            0.049734,            0.050599,             0.74375,             0.31567,             0.30273,             0.13465,            0.048798,            0.042789,            0.044497,           0.0068252,           0.0068252,            0.018525
                  68,            0.055144,             0.04748,            0.050582,             0.76533,             0.29817,             0.33548,              0.1442,            0.049169,            0.042666,            0.044198,           0.0068704,           0.0068704,             0.01727
                  69,            0.059033,            0.051329,            0.050269,             0.83418,             0.27631,             0.31956,             0.18238,            0.038302,            0.040812,            0.043715,           0.0069136,           0.0069136,            0.016014
                  70,            0.055453,             0.05046,            0.050453,             0.83055,             0.27459,             0.33374,             0.17225,            0.043174,            0.042013,            0.043353,           0.0069546,           0.0069546,            0.014755
                  71,            0.052794,            0.047629,            0.048325,             0.79612,             0.31693,             0.33227,             0.13946,             0.04951,            0.044701,             0.04253,           0.0069935,           0.0069935,            0.013494
                  72,            0.056814,            0.050829,            0.047329,              0.7014,             0.35849,             0.37042,             0.19232,            0.043809,            0.041673,            0.042039,           0.0070304,           0.0070304,             0.01223
                  73,            0.054661,            0.047466,            0.047683,             0.76924,             0.35084,             0.39207,             0.21756,            0.040146,            0.040624,            0.041341,           0.0070651,           0.0070651,            0.010965
